17:40:18.757 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:03.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:04.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:05.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:06.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:07.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:08.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:09.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:10.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:11.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:12.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:13.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:14.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:15.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:16.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:17.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:18.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:19.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:20.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.275 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.875 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:21.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:22.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.435 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.675 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.795 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:23.915 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.035 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.155 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.515 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.635 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.755 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:24.995 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.835 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:25.955 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.075 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.195 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.555 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:26.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:27.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.235 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.355 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.475 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.715 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.835 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:28.955 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.075 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.194 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.314 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.435 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.555 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.675 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.794 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:29.915 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.035 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.155 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.275 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.395 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:30.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.115 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.595 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:31.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.315 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:32.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:33.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:34.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:35.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:36.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:37.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:38.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:39.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.714 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.834 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:40.954 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.074 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.194 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.434 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.554 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.674 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.794 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:41.914 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.034 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.154 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.274 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:42.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.234 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.474 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.594 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.714 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.834 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:43.954 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.074 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.194 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.314 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.434 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.554 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.674 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.794 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:44.914 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.034 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.154 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.274 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.394 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.634 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.754 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.874 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:45.994 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.114 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.234 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.354 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.474 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.594 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.714 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.834 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:46.954 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.074 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.194 > backward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.314 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.434 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.554 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.674 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.794 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:47.914 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.034 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.154 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.274 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.394 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.514 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.634 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.754 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.874 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:48.994 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:41:49.114 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
