17:47:43.005 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.123 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.604 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.723 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.843 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:28.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.083 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.203 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.323 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.443 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.563 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.683 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.803 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:29.923 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.043 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.163 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.283 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.403 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.523 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.643 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.763 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:30.883 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.003 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.123 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.243 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.363 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.483 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.603 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.723 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.843 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:31.963 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.083 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.203 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.323 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.563 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.683 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:32.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.043 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.163 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.283 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.403 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.523 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.643 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.763 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:33.884 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.004 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.124 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.244 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.364 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.484 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.603 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.724 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.844 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:34.964 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.083 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.204 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.324 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.444 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.564 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.683 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.804 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:35.924 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:48:36.043 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
