17:43:36.332 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:21.570 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:21.930 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:22.050 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:22.170 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:22.290 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:22.410 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:22.530 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:22.650 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:22.770 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:22.890 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.010 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.130 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.250 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.370 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:23.490 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.610 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.730 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.850 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:23.970 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.090 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.210 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.330 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.450 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.570 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.690 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:24.810 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:24.930 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:25.050 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:44:25.170 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:44:25.296 > �b��
