23:34:51.749 > Stop |  | servo turn 90 degree | gripper off
23:40:27.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:27.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:28.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:29.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:30.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:31.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:32.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:33.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:34.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:35.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:36.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:37.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:38.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:39.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:40.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:41.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:42.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:43.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:44.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:45.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:46.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:47.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:48.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:49.923 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.523 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:50.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:51.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.444 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:52.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.164 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.284 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.404 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.644 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:53.883 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.244 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.484 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.844 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:54.963 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.083 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.204 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.564 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.684 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.804 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:55.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.044 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.163 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.283 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.403 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.524 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.643 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.764 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:56.884 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.004 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.124 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.243 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.364 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.483 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.604 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.724 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.843 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:57.964 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.084 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.203 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.324 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.563 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.683 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.803 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:58.924 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.163 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.283 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.403 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.523 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.643 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.763 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:40:59.883 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.003 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.123 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.243 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.363 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.483 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.603 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.723 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.843 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:00.963 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.083 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.203 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.323 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.563 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.683 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.803 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:01.923 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.163 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.283 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.403 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.523 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.643 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.763 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:02.883 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.003 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.123 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.243 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.363 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.483 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.603 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.723 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.843 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:03.963 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.083 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.203 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.323 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.563 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.683 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.803 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:04.923 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.163 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.283 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.403 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.523 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.643 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.763 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:05.883 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.003 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.123 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.243 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.363 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.483 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.603 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.723 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.843 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:06.963 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.083 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.203 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.323 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.563 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.683 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.803 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:07.923 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.043 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.163 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.283 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.403 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.523 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.643 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.763 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:08.883 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.003 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.123 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.243 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.363 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.483 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.603 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.723 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.843 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:09.963 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.083 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.203 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.323 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.443 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.563 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.683 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.803 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
23:41:10.923 > Stop | servo y-axis (up) | servo turn 180 degree | gripper on
